Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       18     0.00     0.00  std::default_delete<Trainee>&& std::forward<std::default_delete<Trainee> >(std::remove_reference<std::default_delete<Trainee> >::type&)
  0.00      0.00     0.00       16     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~new_allocator()
  0.00      0.00     0.00       15     0.00     0.00  std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~allocator()
  0.00      0.00     0.00       15     0.00     0.00  std::_Head_base<0ul, Trainee*, false>::_Head_base()
  0.00      0.00     0.00       15     0.00     0.00  std::_Head_base<1ul, std::default_delete<Trainee>, true>::_Head_base()
  0.00      0.00     0.00       15     0.00     0.00  std::_Tuple_impl<0ul, Trainee*, std::default_delete<Trainee> >::_Tuple_impl()
  0.00      0.00     0.00       15     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<Trainee> >::_Tuple_impl()
  0.00      0.00     0.00       15     0.00     0.00  std::tuple<Trainee*, std::default_delete<Trainee> >::tuple<Trainee*, std::default_delete<Trainee>, true>()
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::deallocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::allocate(unsigned long, void const*)
  0.00      0.00     0.00       14     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_allocate(unsigned long)
